services,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method,datetime
bike,completed,Banashankari 7th Stage,Richmond Road,99,RD8660319589404637,18.68,93.09,2.32,95.41,Amazon Pay,2024-06-23 19:18:20
bike lite,completed,Indiranagar North,Sahakar Nagar,48,RD4484661533610497,42.55,420.77,11.68,432.45,QR scan,2024-07-06 02:42:20
parcel,completed,MG Road Mahatma Gandhi Road,Whitefield South,112,RD1526455182706880,5.85,247.9,27.45,275.35,GPay,2024-07-19 17:55:20
cab economy,completed,Whitefield North,Brigade Road Eva Mall,44,RD6627722888214728,5.61,786.3,21.4,807.7,Paytm,2024-07-12 19:36:20
bike lite,completed,Kadubeesanahalli,Banashankari 2nd Stage,30,RD1872668675732568,11.61,685.89,6.11,692.0,Amazon Pay,2024-07-01 22:54:20
auto,completed,Jayanagar 8th Block,Banashankari 6th Stage,28,RD8212250057688058,34.48,729.41,33.67,763.08,Amazon Pay,2024-06-24 18:26:20
auto,completed,Domlur,Cooke Town,71,RD6478156857054878,22.59,620.75,36.66,657.41,GPay,2024-06-24 09:49:20
auto,completed,Jayanagar 6th Block East,HSR Layout Sector 5,113,RD7099134978086824,49.88,701.6,11.29,712.89,Cash,2024-07-07 20:38:20
cab economy,completed,HSR Layout Sector 3 South,HSR Layout,99,RD2563360368286152,25.81,360.13,6.07,366.2,QR scan,2024-07-10 19:09:20
auto share,completed,HSR Layout Sector 1 North,HSR Layout Sector 5,67,RD7930293719321513,19.84,113.44,21.11,134.55,Paytm,2024-06-25 14:30:20
auto,completed,Indiranagar North,HSR Layout Central,54,RD2034186068133556,32.65,723.76,13.58,737.34,Amazon Pay,2024-07-06 01:43:20
auto share,completed,Hebbal Byatarayanapura,HSR Layout Sector 5 North,58,RD7040785418163640,11.72,391.86,4.15,396.01,phonePy,2024-07-23 01:24:20
parcel,completed,HSR Layout Sector 6 South,Banashankari 7th Stage,90,RD9840431247305400,24.43,963.21,7.47,970.68,Paytm,2024-06-26 19:01:20
auto,completed,Electronic City Phase 2,HSR Layout Sector 8 North,7,RD5375563981393395,39.88,126.98,31.26,158.24,Amazon Pay,2024-06-27 08:26:20
bike lite,completed,Koramangala 2nd Block,Marathahalli Main Road,87,RD5803656443259409,27.63,842.51,16.67,859.18,Paytm,2024-07-23 02:42:20
cab premium,completed,Vidyaranyapura,Malleshwaram 6th Block,47,RD2937871914336507,20.14,535.24,3.74,538.98,Amazon Pay,2024-07-12 02:43:20
bike,completed,Residency Road,Cox Town,41,RD9368948172615210,6.9,338.75,4.02,342.77,GPay,2024-07-20 05:05:20
bike,completed,Hebbal Dasarahalli,Malleshwaram 2nd Block,44,RD7796698949754419,30.19,405.89,21.11,427.0,Amazon Pay,2024-07-09 01:18:20
auto share,completed,JP Nagar 4th Phase,Electronic City Phase 2,48,RD6127475382722075,44.78,622.54,29.5,652.04,Amazon Pay,2024-06-29 07:56:20
