distance_km,restaurant_rating,weather,time_of_day,delivery_speed_kmph,active_orders_queue,restaurant_prep_time_min,traffic_level,area_type,delivery_time_minutes
5.93,4.5,cloudy,peak,15.07,14,18,medium,urban,68
14.29,2.9,rainy,peak,21.0,17,36,high,urban,112
11.11,4.9,sunny,off-peak,30.16,9,16,low,urban,53
9.18,4.6,cloudy,peak,21.84,6,29,medium,suburban,68
2.76,4.8,rainy,off-peak,36.26,9,29,low,urban,53
2.76,3.2,sunny,peak,28.65,3,22,medium,urban,35
1.34,3.3,rainy,peak,15.86,6,20,medium,suburban,42
13.06,3.7,cloudy,peak,12.89,0,17,high,urban,85
9.22,3.1,sunny,off-peak,38.82,7,29,medium,urban,57
10.77,3.7,sunny,peak,31.37,0,33,medium,suburban,57
0.8,2.5,sunny,off-peak,12.3,11,18,medium,urban,41
14.56,4.7,sunny,off-peak,22.39,7,13,medium,urban,66
12.57,2.9,cloudy,peak,11.16,3,5,medium,urban,82
3.58,3.8,sunny,off-peak,15.27,8,21,high,urban,52
3.14,4.8,sunny,off-peak,33.43,15,17,low,urban,46
3.16,4.6,sunny,peak,24.16,1,29,medium,urban,41
4.91,4.4,sunny,peak,31.02,13,13,high,urban,47
8.11,4.0,rainy,peak,10.54,10,10,high,urban,81
6.76,3.6,sunny,peak,16.5,17,23,medium,urban,76
4.72,3.6,sunny,off-peak,10.89,4,28,low,urban,61
9.37,2.7,sunny,off-peak,19.51,7,14,medium,urban,56
2.52,2.7,sunny,peak,21.57,7,25,low,urban,44
4.74,4.6,sunny,peak,25.11,4,15,medium,urban,35
5.81,3.5,cloudy,off-peak,16.75,2,21,high,urban,52
7.11,2.6,sunny,off-peak,10.19,13,17,medium,urban,81
11.89,4.2,sunny,off-peak,27.62,19,21,medium,urban,78
3.4,4.2,cloudy,off-peak,36.96,18,11,medium,urban,49
7.96,3.1,rainy,peak,14.91,1,23,medium,suburban,65
9.09,3.5,rainy,peak,33.77,12,23,high,suburban,67
1.17,3.9,sunny,peak,39.32,7,31,medium,urban,46
9.31,4.0,cloudy,off-peak,23.24,16,8,high,suburban,63
2.97,3.8,cloudy,peak,32.83,2,31,low,urban,42
1.44,3.4,sunny,peak,25.81,12,33,medium,urban,57
14.26,2.7,sunny,peak,19.55,17,8,medium,rural,80
14.5,2.6,sunny,off-peak,20.95,15,18,medium,suburban,85
12.22,3.6,rainy,peak,35.37,11,30,high,urban,77
4.92,3.0,cloudy,peak,38.71,14,34,low,suburban,66
1.92,4.8,sunny,off-peak,25.02,1,35,low,urban,42
10.42,4.1,sunny,peak,16.48,13,33,low,urban,91
6.88,4.0,sunny,peak,28.49,5,30,low,urban,53
2.27,3.5,rainy,peak,11.81,13,23,high,urban,64
7.68,3.3,cloudy,off-peak,12.02,18,32,medium,urban,102
1.0,2.9,rainy,peak,17.03,3,7,medium,urban,23
13.69,2.7,rainy,off-peak,23.27,15,23,low,urban,87
